,comfort,surprise,anxiety,calmness,boredom,ECG_Rate,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,EDA_Phasic_Mean,EDA_Phasic_Std,EDA_Tonic_Mean,EDA_Tonic_std,SCR_Onsets,SCR_Magnitude,SCR_Amplitude_Mean,SCR_RiseTime_Mean,SCR_RecoveryTime_Mean,Pupil_Mean,Pupil_Std,s_id,t_id
1,0.1839464903,1.951505065,1.581939816,1.209030151,0.02173913084,89.11702421,16.37070554,671.5294118,21.62786873,16.51665826,0.1165223535,0.1270441589,-0.1772457521,0.1148293806,0.1666666667,0.1923530354,0.0002489977632,0.0004213333333,0.0003573333333,34.83748382,2.980408532,P16,2
2,0.05518394709,1.936454892,1.64046824,1.591973186,0.001672240789,90.39154253,14,660.7058824,30.3392582,14,0.02815463663,0.107883338,-0.07392389062,0.03562266388,0.08333333333,0.1313138363,8.75E-05,0.001093333333,0.0002186666667,34.30821871,2.473575583,P16,2
3,0.06521739066,2,1.911371231,0.1220735759,0.02842809446,91.84455299,19.59591794,652.2352941,20.80723856,20.21220753,0.07875484087,0.1507077607,0.1688916274,0.1144573702,0.25,0.1698635869,0.0004105010619,0.003344,0.002138666667,33.77926883,1.873748717,P16,2
4,0.06187291071,2,1.966555238,0,0,88.69130194,20.09975124,676.2352941,22.29217747,20.44178727,0.04686313993,0.1044483779,-0.3672627591,0.1824703539,0.1666666667,0.198809528,0.0003495474742,0.002026666667,0.00136,33.48311242,1.795830657,P16,2
5,0.001672240789,1.996655464,2,0.1588628739,0.03678929806,92.0777538,14,648.9411765,29.91753371,13.69184672,0.007490482484,0.06888891099,0.1758318988,0.03500230306,0.1666666667,0.162257636,0.000196814958,0.001968,0.0008213333333,33.71745774,1.661174524,P16,2
6,0.05518394709,1.941471577,1.926421404,0.08193980157,0.05852842703,99.68369685,14.96662955,596.6315789,51.24690834,13.7883156,-0.01798192671,0.1258345697,-0.1042794467,0.08178084452,0.1666666667,0.2356846184,0.0002286011906,0.002613333333,0.001178666667,34.40242375,2.542470427,P16,2
7,0.020066889,1.961538434,1.959866166,0,0.03846153989,93.35657195,19.78710216,644.8888889,23.30586619,20.3729925,0.07059250532,0.2347880152,-0.2005562143,0.07391701428,0.08333333333,0.1258296864,8.39E-05,0.0001973333333,0.0001333333333,34.4961197,2.743326809,P16,2
8,0.03010033444,1.948160529,2,0.0852842778,0.01672240719,88.74285329,21.36664067,676.5,27.24212424,22.054478,0.04633794162,0.05703610691,-0.370254396,0.1572458804,0.08333333333,0.2144063392,0.0001429375595,0.0001973333333,0.001034666667,34.24128956,1.769682952,P16,2
9,0.1103678942,1.946488261,1.928093672,0.08695652336,0.03344481438,93.02478816,13.26649916,642.8235294,26.67450865,13.06394529,0.08314838166,0.1301681829,-0.1052821551,0.05953473472,0.1666666667,0.636084726,0.00052640583,0.0003893333333,0.001312,32.67088695,1.952752621,P16,2
10,0.1086956486,1.944816113,1.974916339,0.1471571922,0.08026755601,91.20665615,18.33030278,656,31.8747549,18.67618805,0.02701755059,0.1474465763,-0.2810659242,0.1401227011,0.1666666667,0.6791290788,0.0006096020287,0.0004106666667,0.001168,33.63825546,2.302326043,P16,2
11,0.1187290996,1.979933143,1.889632106,0.2240802646,0.143812716,92.91620703,17.02593178,643.5555556,35.3773311,16.99826981,0.0701173987,0.1104728455,-0.3132186634,0.05892878818,0.08333333333,0.2287399247,0.0001524932831,0.0003093333333,8.53E-05,33.83778992,2.764411298,P16,2
12,0.1220735759,1.959866166,1.936454892,0.568561852,0.1304347813,93.32112005,20.25717012,641.7777778,31.47278106,20.73927788,0.04186601912,0.06103281752,-0.6142513055,0.09086586765,0.1666666667,0.265181405,0.0002959231943,0.003381333333,0.002250666667,34.28881006,2.694749923,P16,2
13,0.08695652336,1.906354547,1.897993326,0.05852842703,0.05351170525,91.50076991,20.29778313,653.6470588,31.46613492,20.17919721,0.07269592893,0.1323393411,-0.2738835846,0.07961275172,0.08333333333,0.1065767127,7.11E-05,0.0003306666667,0.0002186666667,33.8550224,3.145344308,P16,2
14,0.07525083423,1.948160529,1.956521749,0.1120401323,0.1120401323,94.89669956,10.08201661,628.4444444,21.11654557,9.821944219,0.06658355661,0.09493087331,-0.8475782454,0.116838257,0.1666666667,0.3572462663,0.0003751011896,0.000608,0.0003306666667,35.87932901,3.104321071,P16,2
15,0.1220735759,1.943143845,1.954849482,0.1488294303,0.1204013377,73.20157888,17.73884626,642.4615385,17.09100828,18.19756894,0.00942116382,0.05663277995,-0.5196430492,0.2754320539,0.08333333333,0.1338356441,8.92E-05,0.001706666667,0.000928,26.49885267,14.0166148,P16,2
1,0.07357859612,1.956521749,1.998327732,0.06354515254,0.08695652336,87.06119012,16,689,20,16.56157342,0.1215869554,0.2281341603,-0.2144338248,0.2830624897,0.25,0.5789869237,0.0006393145643,0.000768,0.000469646431,33.97350667,2.980771169,P16,3
2,0.1120401323,1.914715767,1.961538434,0.1220735759,0.1270903051,91.49112647,14.38953868,652.8888889,28.53457941,14.4385106,0.04330688163,0.1499992821,0.09256503944,0.05724037508,0.1666666667,0.5739461362,0.0004985240891,0.0003946666667,0.006016,33.36251096,3.753501743,P16,3
3,0.09197324514,1.919732451,1.963210702,0.1337792575,0.1488294303,87.25176208,19.48674763,682,31.66491223,19.79706568,0.001440128438,0.18061749,0.02931451711,0.1027162569,0.1666666667,0.5382449866,0.0003874948933,0.0003626666667,0.0003466666667,31.83897775,3.302631717,P16,3
4,0.160535112,1.92976594,1.938127041,0.07692307979,0.1404682249,89.72436622,17.08800749,665.4117647,17.71672523,17.45852227,0.00706734115,0.1901051959,0.3476264227,0.04500480597,0.25,0.9557130118,0.0009662681539,0.0007786666667,0.00032,32.90712712,3.357673827,P16,3
5,0.1538461596,1.959866166,1.951505065,0.1304347813,0.1120401323,88.39364674,17.08800749,678.1176471,28.63975025,17.580292,0.0349092084,0.06378276753,-0.1383398895,0.06390355601,0.08333333333,0.3395847645,0.000226389843,0.0002346666667,0.0001653333333,33.45127199,3.696882953,P16,3
6,0.1003344506,1.92976594,2,0.2073578537,0.2207357883,90.80933161,17.32050808,657.8823529,24.90452357,17.88108871,0.01839914015,0.1565521523,0.03245105611,0.06351024542,0.1666666667,0.8068519312,0.0009731483212,0.0004053333333,0.000464,32.67552167,2.803428561,P16,3
7,0.143812716,1.953177214,1.928093672,0.4431438148,0.1555183977,92.91070216,20.78460969,643.2941176,24.98940952,21.46625258,0.0582401351,0.1925795908,-0.4781097261,0.03970478487,0.25,0.7850704771,0.0007985706935,0.0008586666667,0.001152,32.96838753,3.224062744,P16,3
8,0.2023411393,1.906354547,1.903010011,0.1538461596,0.1722408086,91.58119238,22.27105745,649.8823529,26.76257264,22.41428116,0.005796622354,0.1102062452,-0.3069238066,0.09671307083,0.1666666667,0.5337845087,0.0005846998562,0.0009013333333,0.005733333333,31.7181089,3.237368853,P16,3
9,0.1287625432,1.436454892,1.959866166,0.8244147301,0.1304347813,93.61392212,14.90361188,640,25.29822128,15.29321264,0.01010635094,0.1898723441,-0.3890703692,0.08803224434,0.25,0.3591579953,0.0004181930126,0.0004746666667,0.001072,32.08496498,3.176348503,P16,3
10,0.1337792575,1.946488261,1.989966512,0.6488294601,0.1270903051,90.54701356,19.89974874,660.2352941,24.9988235,20.3895398,0.04424725958,0.1159175827,-0.3198068582,0.07981700741,0.08333333333,0.3935713761,0.0002623809174,0.000208,0.0001386666667,31.63764703,2.891931844,P16,3
11,0.1588628739,1.998327732,1.983277559,0.1404682249,0.1387959868,92.7642793,17.462565,644.8888889,23.62672686,17.83585285,0.02853030916,0.1130997252,-0.3475262867,0.02660870882,0.1666666667,0.5806424142,0.0006629277756,0.0006773333333,0.0002666666667,31.41799335,2.749227542,P16,3
12,0.1672240794,1.963210702,1.961538434,0.1337792575,0.1739130467,92.29707671,22.71563338,648,26.38181192,23.40939982,0.02809131327,0.1908755904,-0.796785252,0.05446485404,0.08333333333,1.005794572,0.0006705297144,0.00056,0.003365333333,32.4795596,3.35782711,P16,3
13,0.142140463,1.924749136,1.948160529,0.07525083423,0.1137123778,74.24226637,16.45506702,661.1428571,24.42841077,16.52969356,-0.01621751526,0.09718074077,-0.7342751222,0.3418068791,0.08333333333,0.5260862317,0.0003507241545,0.0005493333333,0,25.1353179,11.78016242,P16,3
1,0.643812716,0.9280936718,1.958194017,0.1404682249,0.143812716,89.16056926,13.7113092,671.0588235,26.36396828,12.97176421,0.05870475274,0.3516073523,1.841586825,0.07398001279,0.1666666667,0.6834020849,0.0005688601672,0.0003253333333,0.0001546666667,30.26705032,2.427747638,P16,4
2,0.1337792575,1.968227386,1.954849482,0.1354515105,0.1505016685,90.00538078,15.3622915,664.4705882,33.76040145,14.8144074,0.01795553948,0.2161889875,-0.2985941262,0.2798187475,0.08333333333,1.614254734,0.001076169822,0.0001866666667,0.008656,31.15861462,2.31145968,P16,4
3,0.1170568541,1.979933143,1.963210702,0.162207365,0.1571906358,89.34106676,19.6977156,671.5294118,23.91160191,20.28464115,-0.02661057625,0.2249338707,0.4561028958,0.1700765319,0.08333333333,1.328968645,0.0008859790966,0.0005173333333,0.0008106666667,29.91113158,1.933137259,P16,4
4,0.125418067,1.951505065,1.914715767,0.1822742522,0.1638796031,92.19352782,22.627417,651.1111111,34.1775449,23.32380758,0.05018351939,0.1534667422,-0.8516766022,0.02883803002,0.25,0.6546973595,0.0005516287399,0.0016,0.0006773333333,29.24378529,2.018499046,P16,4
5,0.1020066887,1.96488297,1.976588607,0.1321070194,0.142140463,87.9905925,18.33030278,681.4117647,27.60221645,18.93145531,-0.007493459516,0.3602997388,0.2278872532,0.2534189132,0.1666666667,0.3939757209,0.0004712952543,0.0003893333333,9.07E-05,29.20736133,2.126446371,P16,4
6,0.1237458214,1.971571922,1.944816113,0.1120401323,0.1822742522,92.13420274,18.33030278,652.2352941,22.99872119,18.67618805,-0.01166307983,0.2803858621,-0.5796688555,0.145085614,0.1666666667,1.116658213,0.0009193422196,0.0008853333333,0.000192,29.48227974,2.338111852,P16,4
7,0.09197324514,1.994983315,1.969899654,0.1404682249,0.1638796031,85.39868289,22.9085137,704.5,38.58497117,23.55136231,0.01492491359,0.2215739612,-0.5358931681,0.2394274704,0.25,0.8268230957,0.0009437220429,0.001162666667,0.0001174116077,29.94725891,2.478983888,P16,4
8,0.08695652336,1.906354547,1.933110356,0.1053511724,0.07023411244,88.13830285,15.49193338,680,26.07680962,15.96663187,0.05192342554,0.3119570488,0.007052578459,0.08037271845,0.1666666667,0.2738761624,0.0002711234913,0.0003146666667,0.0002026666667,31.11386365,2.453696097,P16,4
9,0.1086956486,1.981605411,1.981605411,0.1036789268,0.09364548326,88.84000714,18,674.3529412,20.93126004,18.58314649,0.01374467948,0.2309962332,-0.07794335463,0.1615051521,0.08333333333,1.551851257,0.001034567505,0.000208,0.001221333333,31.19684973,2.137882746,P16,4
10,0.1856187284,1.92976594,1.891304374,0.1404682249,0.2625418007,90.20221907,15.23154621,658.3529412,42.12027596,12.6912043,0.01266506565,0.1536213863,-0.04715260301,0.2062679076,0.25,0.7181524656,0.0007614198163,0.0007253333333,0.000192,29.11550596,2.302743249,P16,4
11,0.1103678942,1.971571922,1.988294363,0.1137123778,0.1688963175,93.62868182,20.07046411,639.1111111,44.8276292,19.98823183,-0.1070962981,0.2676452752,-1.425929342,0.1802561875,0.1666666667,1.247188724,0.0009309388116,0.00072,0.0001173333333,30.2409553,2.589770684,P16,4
12,0.07525083423,1.981605411,1.936454892,0.05183946341,0.07692307979,86.98488651,20.44830881,688,24.61435895,20.43339936,-0.009387923009,0.1223197604,-0.9276078531,0.1073860781,0.1666666667,0.3369635737,0.0002246423825,0.0002133333333,0.001008,30.91262405,2.84156598,P16,4
13,0.09698996693,1.958194017,1.953177214,0.071906358,0.1739130467,86.57601902,17.64841825,691.5,17.27425831,18.25950503,-0.0404834331,0.2270071262,-0.8132083809,0.3521245493,0.08333333333,0.2870128326,0.0001913418884,0.00016,0.001157333333,28.87650652,3.18767784,P16,4
